mut prob= 0,6
pop size= 50
tournament= 7

---Time reading file and creating Cities: 5.123275279998779 seconds ---

Calculating distances...
---Time Calculating distances: 0.05874156951904297 seconds ---

Searching for shortest way possible...
Calculating GA_loop
Creates the population:
Finished Creation of the population
Generation: 407, elapsed_time: 87.3 s, best route: 32967.64
Generation: 408, elapsed_time: 87.6 s, best route: 32687.91
Generation: 409, elapsed_time: 87.8 s, best route: 32546.33
Generation: 410, elapsed_time: 88.0 s, best route: 32546.33
Generation: 411, elapsed_time: 88.2 s, best route: 32546.33
Generation: 412, elapsed_time: 88.4 s, best route: 32546.33
Generation: 413, elapsed_time: 88.6 s, best route: 32546.33
Generation: 414, elapsed_time: 88.8 s, best route: 32546.33
Generation: 415, elapsed_time: 89.0 s, best route: 32546.33
Generation: 416, elapsed_time: 89.2 s, best route: 32546.33
Generation: 417, elapsed_time: 89.4 s, best route: 32437.70
Generation: 418, elapsed_time: 89.7 s, best route: 32222.52
Generation: 419, elapsed_time: 89.9 s, best route: 32222.52
Generation: 420, elapsed_time: 90.1 s, best route: 32208.62
Generation: 421, elapsed_time: 90.4 s, best route: 32169.13
Generation: 422, elapsed_time: 90.6 s, best route: 32169.13
Generation: 423, elapsed_time: 90.9 s, best route: 32007.55
Generation: 424, elapsed_time: 91.1 s, best route: 32007.55
Generation: 425, elapsed_time: 91.3 s, best route: 31972.95
Generation: 426, elapsed_time: 91.5 s, best route: 31972.95
Generation: 427, elapsed_time: 91.7 s, best route: 31972.95
Generation: 428, elapsed_time: 92.0 s, best route: 31911.77
Generation: 429, elapsed_time: 92.2 s, best route: 31911.77
Generation: 430, elapsed_time: 92.4 s, best route: 31867.70
Generation: 431, elapsed_time: 92.6 s, best route: 31867.70
Generation: 432, elapsed_time: 92.8 s, best route: 31867.70
Generation: 433, elapsed_time: 92.9 s, best route: 31867.70
Generation: 434, elapsed_time: 93.1 s, best route: 31867.70
Generation: 435, elapsed_time: 93.3 s, best route: 31867.70
Generation: 436, elapsed_time: 93.5 s, best route: 31867.70
Generation: 437, elapsed_time: 93.7 s, best route: 31867.70
Generation: 438, elapsed_time: 93.9 s, best route: 31867.70
Generation: 439, elapsed_time: 94.1 s, best route: 31861.45
Generation: 440, elapsed_time: 94.3 s, best route: 31861.45
Generation: 441, elapsed_time: 94.5 s, best route: 31861.45
